index,F,E0,mag,vol,nFe,nCo,nS,Eform,Ehull,Js
Fe_ref,-16.632549,-16.632549,4.326100,22.860408,2,0,0,0.000000,0.000000,2.205413
Co_ref,-13.775345,-13.775345,0.000900,20.808721,0,2,0,0.000000,0.000000,0.000504
S_ref,-132.163820,-132.163820,0.000000,1003.344283,0,0,32,0.000000,0.000000,0.000000
1,-95.091399,-95.083596,8.698600,211.076795,6,1,8,-0.350488,0.171265,0.480271
2,-55.107516,-55.104890,10.929200,95.524107,4,2,2,0.024474,0.368673,1.333376
3,-52.544926,-52.542959,11.003400,80.970392,5,1,1,0.008029,0.212934,1.583719
4,-42.704075,-42.701378,0.000000,116.565597,2,1,4,-0.380097,0.156199,0.000000
5,-147.654330,-147.644950,0.002600,369.223716,4,8,12,-0.404877,0.159878,0.000082
6,-88.053707,-88.046913,0.008300,205.923383,1,6,8,-0.357577,0.206902,0.000470
7,-165.969740,-165.957720,1.545600,461.211591,4,8,16,-0.411048,0.139845,0.039055
8,-83.681284,-83.676771,4.080000,206.878912,2,4,8,-0.460898,0.089994,0.229838
9,-41.692117,-41.689583,1.449100,95.691546,1,2,4,-0.439641,0.111252,0.176483
10,-216.839610,-216.826750,0.414900,532.217552,4,10,24,-0.409528,0.085963,0.009085
11,-79.304068,-79.300098,2.509100,146.579434,4,4,4,-0.163653,0.271595,0.199491
12,-81.319643,-81.315055,7.474600,214.271490,2,4,8,-0.292204,0.258688,0.406538
13,-85.886185,-85.881083,1.115000,209.121644,4,2,8,-0.414263,0.122033,0.062137
14,-85.359125,-85.353271,21.565900,142.027975,6,4,2,0.029609,0.318864,1.769584
15,-91.268277,-91.265668,2.974900,256.894456,4,2,10,-0.182752,0.349035,0.134957
16,-53.812062,-53.806318,4.163600,143.354107,2,2,5,-0.305314,0.243498,0.338483
17,-148.364260,-148.358050,0.010200,345.009903,4,8,12,-0.434589,0.130165,0.000345
18,-85.935732,-85.927769,2.008500,198.365941,4,2,8,-0.417598,0.118698,0.118000
20,-59.844593,-59.840235,9.036100,102.930057,3,3,3,-0.204226,0.231022,1.023096
21,-43.008825,-43.005976,2.457000,96.104893,2,1,4,-0.423611,0.112685,0.297946
22,-365.559310,-365.520190,65.593400,540.925093,36,8,4,0.114324,0.268541,1.413190
23,-142.502100,-142.487020,1.712300,481.537775,8,2,14,-0.181659,0.345251,0.041441
24,-111.782490,-111.775370,5.741300,294.198040,2,6,12,-0.212768,0.312151,0.227430
25,-74.466878,-74.462012,1.449600,206.588318,1,4,8,-0.427238,0.077584,0.081775
26,-29.376797,-29.371544,0.927900,63.912009,2,1,2,0.481783,0.946543,0.169198
27,-225.096310,-225.088420,0.000000,524.937747,10,4,24,-0.401372,0.128069,0.000000
28,-33.036342,-33.031457,1.380100,107.816285,1,1,4,-0.217839,0.257435,0.149178
29,-166.413240,-166.398060,2.599900,397.366855,4,8,16,-0.426774,0.124119,0.076250
30,-166.658370,-166.637080,4.697800,386.938708,8,4,16,-0.231224,0.305072,0.141491
31,-312.578660,-312.564240,14.424200,805.549550,18,2,32,-0.325618,0.195309,0.208678
32,-41.589030,-41.586923,5.023700,103.849909,2,1,4,-0.220889,0.315407,0.563761
33,-76.054276,-76.046664,5.183600,204.504241,4,1,8,-0.219457,0.307900,0.295397
