index,F,E0,mag,vol,nFe,nCo,nS
Fe_ref,-16.632549,-16.632549,4.3261,22.860408,2,0,0
Co_ref,-13.775345,-13.775345,0.0009,20.808721,0,2,0
S_ref,-132.16382,-132.16382,0,1003.344283,0,0,32
1,-95.091399,-95.083596,8.6986,211.07679484631296,6,1,8
2,-55.107516,-55.10489,10.9292,95.52410724513406,4,2,2
3,-52.544926,-52.542959,11.0034,80.97039187308407,5,1,1
4,-42.704075,-42.701378,0,116.56559712908347,2,1,4
5,-147.65433,-147.64495,0.0026,369.2237164346751,4,8,12
6,-88.053707,-88.046913,0.0083,205.92338316586546,1,6,8
7,-165.96974,-165.95772,1.5456,461.2115910395691,4,8,16
8,-83.681284,-83.676771,4.08,206.87891211886785,2,4,8
9,-41.692117,-41.689583,1.4491,95.69154582438551,1,2,4
10,-216.83961,-216.82675,0.4149,532.2175519465112,4,10,24
11,-79.304068,-79.300098,2.5091,146.5794344660045,4,4,4
12,-81.319643,-81.315055,7.4746,214.27148977796037,2,4,8
13,-85.886185,-85.881083,1.115,209.12164356630245,4,2,8
14,-85.359125,-85.353271,21.5659,142.0279750965573,6,4,2
15,-91.268277,-91.265668,2.9749,256.89445558490337,4,2,10
16,-53.812062,-53.806318,4.1636,143.3541070594562,2,2,5
17,-148.36426,-148.35805,0.0102,345.0099031201835,4,8,12
18,-85.935732,-85.927769,2.0085,198.36594050682976,4,2,8
20,-59.844593,-59.840235,9.0361,102.93005742491238,3,3,3
21,-43.008825,-43.005976,2.457,96.10489268743858,2,1,4
22,-365.55931,-365.52019,65.5934,540.9250925241865,36,8,4
23,-142.5021,-142.48702,1.7123,481.5377749667379,8,2,14
24,-111.78249,-111.77537,5.7413,294.19804019320793,2,6,12
25,-74.466878,-74.462012,1.4496,206.58831826243843,1,4,8
26,-29.376797,-29.371544,0.9279,63.91200935414014,2,1,2
27,-225.09631,-225.08842,0,524.9377466251734,10,4,24
28,-33.036342,-33.031457,1.3801,107.81628545169224,1,1,4
29,-166.41324,-166.39806,2.5999,397.3668552413991,4,8,16
30,-166.65837,-166.63708,4.6978,386.9387076901829,8,4,16
31,-312.57866,-312.56424,14.4242,805.5495498307675,18,2,32
32,-41.58903,-41.586923,5.0237,103.8499085934106,2,1,4
33,-76.054276,-76.046664,5.1836,204.50424072872804,4,1,8
35,-50.331558,-50.328557,3.139,230.00425917820988,2,1,6
36,-120.36169,-120.35477,34.6667,190.18204336390494,12,2,2
37,-51.082718,-51.079597,1.1464,120.82897781177542,3,1,4
38,-58.397017,-58.395319,1.0733,145.85721407902366,1,3,6
39,-83.795645,-83.786165,2.7726,203.52108724430462,2,4,8
41,-83.787214,-83.77752,2.7459,203.4612216,2,4,8
42,-76.606986,-76.598667,8.9939,213.54218152992266,4,1,8
43,-81.220494,-81.216651,5.6101,131.4302289791486,5,3,4
44,-24.923725,-24.922563,0.9321,61.556366028995654,1,1,2
45,-83.56282,-83.557391,0,201.42626042427582,2,4,8
46,-68.968778,-68.963905,5.8572,158.33667511142463,3,3,5
47,-48.651612,-48.646426,2.0465,123.2095044145295,1,3,4
48,-89.282814,-89.277211,7.2474,278.0104721774627,2,4,10
49,-85.061601,-85.054971,6.8084,198.3498943158571,4,2,8
50,-165.13955,-165.12801,8.2112,421.56574674380414,4,8,16
51,-20.12993,-20.127961,0.2513,33.82650555356183,1,1,1
52,-110.00247,-109.99371,7.7192,266.50875584236906,6,2,10
53,-77.402886,-77.398729,2.7153,132.15758767397034,2,6,4
54,-120.6789,-120.65841,1.9346,347.1135800142734,4,6,12
55,-57.235677,-57.233388,0,176.49840759794145,2,2,6
56,-75.549288,-75.546033,2.5477,219.13709350790486,4,2,6
57,-143.47922,-143.46544,2.4998,383.29536796060864,2,8,16
58,-61.906961,-61.89661,12.4702,143.27902779456173,4,1,5
59,-79.242079,-79.234732,0.1367,213.7267834585782,1,5,8
60,-166.01153,-166.00371,17.218,430.21548705485145,8,4,16
62,-86.020252,-86.009166,6.0548,205.9432477712935,4,2,8
63,-248.91373,-248.89463,3.2714,658.8727134302173,6,12,24
64,-49.829752,-49.825577,1.6065,128.18577103195443,2,2,4
65,-95.101756,-95.089057,8.7833,213.7055519660485,6,1,8
66,-91.470032,-91.460885,12.9147,133.3324426798489,9,2,1
68,-73.076499,-73.063387,3.2779,209.63987378721603,1,4,8
69,-42.245814,-42.24174,0.0394,119.5189866667581,2,1,4
70,-41.819386,-41.81826,1.8855,98.20110035058309,1,2,4
71,-78.092326,-78.083892,4.0604,199.63527016486435,4,1,8
72,-83.028109,-83.023867,4.2862,200.20156753682966,2,4,8
73,-151.29797,-151.29093,0.7996,403.7467008404931,1,10,16
74,-73.127938,-73.11896,3.5486,206.34458900940177,1,4,8
76,-94.00071,-93.999773,0,268.81173663735314,4,2,10
77,-24.05687,-24.054953,3.1188,54.73920700067392,1,1,2
78,-104.81333,-104.81016,16.273,201.3395407009524,4,8,4
79,-166.01903,-166.01153,17.2735,430.69932956282946,8,4,16
